item_code,item_name,erp_category,uom,dispatch_sheet,group,storage_category,chef_bucket,status
A842b4,Butter Milk (100ml) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PACKING CHILLER,Cold Store,Meals,Mapped
58cdd1,Fish Curry Meal (150ml) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PACKING CHILLER,Cold Store,Meals,Mapped
811320,Fish Fry Masala (Red) (1Kg) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PACKING CHILLER,Cold Store,Meals,Mapped
C2de98,Veg Curry For Meals (150ml) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PACKING CHILLER,Cold Store,Meals,Mapped
Fd7d6c,Ammachi Kozhi Curry (400g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
9b748a,Beef Curry (400g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
78dbfa,Beef Roast (400g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
5ab51a,Beef Ularth (270g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
D3d854,Chicken Kanjirappally (400g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
793ed6,Chicken Railway (400g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
C1d719,Chicken Stew (400g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
538958,Chicken Sukka (370g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
Ed3c37,Chicken Veetile Curry (400g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
C0dfe7,Kadala Curry (400g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
7b2c10,Kappa (500g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
Addfb0,Kondatum Chicken (370g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
4e2f00,Mango Fish Curry (400g) POR 1Piece,Food - Stockable Portion Recipe,1Piece,Catergery-1,PORTION CURRY,Cold Store,Meals,Mapped
